id,first_name,last_name,email,permission
1,Corliss,Withey,cwithey0@company.com,write
2,Hill,Magne,hmagne1@company.com,read
3,Georgia,Feasby,gfeasby2@company.com,owner
4,Salvidor,Speedin,sspeedin3@company.com,owner
5,Cecil,Zupone,czupone4@company.com.br,write
6,Terri,Tother,ttother5@company.com,owner
7,Goldie,Jolley,gjolley6@company.com,owner
8,Carmen,Oxlee,coxlee7@company.com,read
9,Reynolds,Elletson,relletson8@company.com,read
10,Raff,Harpin,rharpin9@company.com,write
11,Bobinette,Boodle,bboodlea@company.com,write
12,Ricca,Pelchat,rpelchatb@company.com,read
13,Kristoffer,Roan,kroanc@company.com,read
14,Jaynell,Mogford,jmogfordd@company.com,read
15,Serge,Spendley,sspendleye@company.com,write
16,Haily,Minthorpe,hminthorpef@company.com,write
17,Waylin,Osborn,wosborng@company.com,read
18,Shae,Leonards,sleonardsh@company.com,write
19,Yolanthe,Decourcy,ydecourcyi@company.com,read
20,Jillene,Cherrie,jcherriej@company.com,read
21,Donnie,Olufsen,dolufsenk@company.com,owner
22,Alexei,Aldwinckle,aaldwincklel@company.com,owner
23,Agathe,Cline,aclinem@company.com,write
24,Ursulina,Bernardini,ubernardinin@company.com,read
25,Kakalina,Kynder,kkyndero@company.com,owner
